NAME,income,population,state,county,tract,GEOID20,area_x,city,OBJECTID_1,OBJECTID,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,CBSA10,METRO_NAME,HRS2020,RHRS20,Shape_Leng,Shape_Area,EQINTER20,area_y
"Census Tract 231, Bronx County, New York",320.0,1569.0, New York,005,023100,36005023100,Census Tract 231, Bronx County,8773,10747,117143.0,0.0,40.8462192,-73.9024562,35620.0,"New York-Newark-Jersey City, N",3.318051,3.3,0.01499921063,1.250854e-05,4,117142
"Census Tract 232, Bronx County, New York",606.0,2382.0, New York,005,023200,36005023200,Census Tract 232, Bronx County,7790,9624,142706.0,0.0,40.8469746,-73.8633164,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01784379884,1.523848e-05,3,142706
"Census Tract 233.01, Bronx County, New York",927.0,3855.0, New York,005,023301,36005023301,Census Tract 233.01, Bronx County,7565,9343,119112.0,0.0,40.8495612,-73.9087543,35620.0,"New York-Newark-Jersey City, N",2.68998,2.7,0.01451025264,1.27194e-05,3,119111
"Census Tract 233.02, Bronx County, New York",679.0,3581.0, New York,005,023302,36005023302,Census Tract 233.02, Bronx County,7791,9625,62577.0,0.0,40.8481852,-73.9047291,35620.0,"New York-Newark-Jersey City, N",2.536527,2.5,0.01227159052,6.68234e-06,3,62578
"Census Tract 235.01, Bronx County, New York",861.0,3222.0, New York,005,023501,36005023501,Census Tract 235.01, Bronx County,7608,9388,68200.0,0.0,40.8521471,-73.9045719,35620.0,"New York-Newark-Jersey City, N",2.0019,2.0,0.01513457176,7.28297e-06,2,68199
"Census Tract 235.02, Bronx County, New York",912.0,4346.0, New York,005,023502,36005023502,Census Tract 235.02, Bronx County,7792,9626,96240.0,0.0,40.8512926,-73.9034696,35620.0,"New York-Newark-Jersey City, N",2.212972,2.2,0.01915600672,1.027725e-05,2,96239
"Census Tract 236, Bronx County, New York",315.0,1609.0, New York,005,023600,36005023600,Census Tract 236, Bronx County,7793,9627,92070.0,0.0,40.8450908,-73.8672583,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01567218873,9.83103e-06,3,92069
"Census Tract 546, Kings County, New York",1280.0,4798.0, New York,047,054600,36047054600,Census Tract 546, Kings County,9657,11717,180669.0,0.0,40.6131411,-73.9531238,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.02070232712,1.922566e-05,2,180670
"Census Tract 547, Kings County, New York",1176.0,5970.0, New York,047,054700,36047054700,Census Tract 547, Kings County,9781,11845,170095.0,0.0,40.7085259,-73.9665937,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01902845253,1.812598e-05,4,170096
"Census Tract 548, Kings County, New York",545.0,2134.0, New York,047,054800,36047054800,Census Tract 548, Kings County,9782,11846,173218.0,0.0,40.6092526,-73.9483771,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.02400851601,1.843151e-05,2,173217
