census,county,state,income,population,tract,GEOID20,OBJECTID_1,OBJECTID,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,CBSA10,METRO_NAME,HRS2020,RHRS20,Shape_Leng,Shape_Area,EQINTER20,area
208.0,Kings County,New York,824.0,3159.0,020800,36047020800,7618,9398,143311.0,0.0,40.6259761,-74.0097676,35620.0,"New York-Newark-Jersey City, N",2.042917,2.0,0.01938505351,1.525292e-05,2,143309
210.0,Kings County,New York,974.0,3935.0,021000,36047021000,7619,9399,150022.0,0.0,40.627626,-74.0081561,35620.0,"New York-Newark-Jersey City, N",3.399557,3.4,0.0186548281,1.596771e-05,4,150022
211.0,Kings County,New York,592.0,2795.0,021100,36047021100,10117,12223,271830.0,0.0,40.6970856,-73.9719259,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.03807865504,2.896223e-05,4,271831
212.0,Kings County,New York,962.0,4123.0,021200,36047021200,9554,11614,190833.0,0.0,40.6294745,-74.0058501,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01948930953,2.031208e-05,4,190833
213.0,Kings County,New York,898.0,4166.0,021300,36047021300,9681,11742,184156.0,0.0,40.6683548,-73.9604674,35620.0,"New York-Newark-Jersey City, N",2.153378,2.2,0.02141316518,1.961254e-05,2,184155
214.0,Kings County,New York,433.0,2128.0,021400,36047021400,7620,9400,167965.0,0.0,40.6316104,-74.0031816,35620.0,"New York-Newark-Jersey City, N",3.232925,3.2,0.01805957097,1.787848e-05,3,167964
215.0,Kings County,New York,1275.0,6013.0,021500,36047021500,9719,11782,152313.0,0.0,40.6733751,-73.9632899,35620.0,"New York-Newark-Jersey City, N",2.455139,2.5,0.02112892588,1.622254e-05,2,152313
216.0,Kings County,New York,809.0,3790.0,021600,36047021600,9746,11809,168178.0,0.0,40.6327947,-73.9997692,35620.0,"New York-Newark-Jersey City, N",3.03918,3.0,0.02029635406,1.790134e-05,3,168176
217.0,Kings County,New York,666.0,3407.0,021700,36047021700,9646,11706,119682.0,0.0,40.6727657,-73.9590256,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01436198804,1.274697e-05,3,119682
218.0,Kings County,New York,618.0,2891.0,021800,36047021800,7621,9401,157820.0,0.0,40.6343541,-73.9978229,35620.0,"New York-Newark-Jersey City, N",3.005213,3.0,0.01936173134,1.679954e-05,3,157821
219.0,Kings County,New York,696.0,3677.0,021900,36047021900,7622,9402,147042.0,0.0,40.6719738,-73.9552592,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01589657172,1.566093e-05,3,147043
220.0,Kings County,New York,891.0,4894.0,022000,36047022000,9389,11443,194279.0,0.0,40.6361633,-73.9955594,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.0199307771,2.068092e-05,3,194279
