ct2010,building count,census,county,state,income,population,tract,GEOID20,INTPTLAT20,INTPTLON20
76.0,1073,76.0,Kings County,New York,942.0,5431.0,7600,36047007600,40.6440836,-74.0146698
77.0,1867,77.0,Bronx County,New York,440.0,2037.0,7700,36005007700,40.8197339,-73.904423
77.0,1867,77.0,Kings County,New York,1327.0,5330.0,7700,36047007700,40.6770204,-73.9952231
77.0,1867,77.0,New York County,New York,916.0,5640.0,7700,36061007700,40.738085,-74.0032967
77.0,1867,77.0,Queens County,New York,350.0,1894.0,7700,36081007700,40.7667329,-73.9317327
77.0,1867,77.0,Richmond County,New York,350.0,1635.0,7700,36085007700,40.6378663,-74.0902676
78.0,1189,78.0,Bronx County,New York,1681.0,7160.0,7800,36005007800,40.8291304,-73.8526457
78.0,1189,78.0,Kings County,New York,954.0,4873.0,7800,36047007800,40.6463204,-74.012337
78.0,1189,78.0,New York County,New York,1510.0,9810.0,7800,36061007800,40.7463235,-73.9746729
79.0,756,79.0,Bronx County,New York,1766.0,6795.0,7900,36005007900,40.815792,-73.9048713
79.0,756,79.0,Queens County,New York,610.0,2661.0,7900,36081007900,40.7691001,-73.9299451
80.0,661,80.0,Kings County,New York,870.0,3627.0,8000,36047008000,40.6485749,-74.0100168
80.0,661,80.0,New York County,New York,798.0,4722.0,8000,36061008000,40.7492588,-73.977652
81.0,1379,81.0,New York County,New York,1292.0,7302.0,8100,36061008100,40.7398052,-73.9987715
81.0,1379,81.0,Queens County,New York,248.0,1226.0,8100,36081008100,40.7700755,-73.9335826
81.0,1379,81.0,Richmond County,New York,894.0,4382.0,8100,36085008100,40.6430458,-74.0937905
82.0,483,82.0,Kings County,New York,617.0,3627.0,8200,36047008200,40.6508179,-74.0076889
82.0,483,82.0,New York County,New York,610.0,3140.0,8200,36061008200,40.7506132,-73.9808741
83.0,711,83.0,Bronx County,New York,1443.0,5948.0,8300,36005008300,40.8136778,-73.90184
83.0,711,83.0,New York County,New York,699.0,3742.0,8300,36061008300,40.7421983,-74.004453
83.0,711,83.0,Queens County,New York,459.0,2242.0,8300,36081008300,40.7726203,-73.9286959
84.0,975,84.0,Bronx County,New York,531.0,3017.0,8400,36005008400,40.8156088,-73.8477354
84.0,975,84.0,Kings County,New York,882.0,3635.0,8400,36047008400,40.6538976,-74.0044859
85.0,559,85.0,Bronx County,New York,1140.0,5416.0,8500,36005008500,40.8162762,-73.8990831
85.0,559,85.0,Kings County,New York,1986.0,7577.0,8500,36047008500,40.675857,-74.0064716
85.0,559,85.0,Queens County,New York,191.0,941.0,8500,36081008500,40.7600215,-73.9407223
86.0,759,86.0,Bronx County,New York,934.0,3757.0,8600,36005008600,40.8198788,-73.8498059
86.0,759,86.0,Queens County,New York,665.0,2796.0,8600,36081008600,40.677092,-73.8411415
86.03,91,86.03,New York County,New York,1217.0,4554.0,8603,36061008603,40.7548017,-73.9634783
87.0,502,87.0,Bronx County,New York,1507.0,6230.0,8700,36005008700,40.819672,-73.8972847
87.0,502,87.0,New York County,New York,1143.0,6347.0,8700,36061008700,40.7422439,-73.9969962
87.0,502,87.0,Queens County,New York,829.0,3536.0,8700,36081008700,40.7744252,-73.9351452
88.0,1127,88.0,Kings County,New York,420.0,2225.0,8800,36047008800,40.6502102,-74.0014031
88.0,1127,88.0,New York County,New York,1635.0,7548.0,8800,36061008800,40.7494997,-73.9723847
88.0,1127,88.0,Queens County,New York,962.0,3650.0,8800,36081008800,40.6707968,-73.8387752
89.0,435,89.0,Bronx County,New York,702.0,2998.0,8900,36005008900,40.8185668,-73.8939061
89.0,435,89.0,New York County,New York,936.0,5599.0,8900,36061008900,40.744638,-74.0026785
90.0,753,90.0,Bronx County,New York,938.0,3574.0,9000,36005009000,40.8181315,-73.8462433
90.0,753,90.0,New York County,New York,1396.0,7767.0,9000,36061009000,40.7526586,-73.9700939
91.0,461,91.0,Queens County,New York,436.0,2168.0,9100,36081009100,40.775858,-73.9296772
92.0,874,92.0,Bronx County,New York,1452.0,6005.0,9200,36005009200,40.8323395,-73.8521545
92.0,874,92.0,New York County,New York,268.0,1539.0,9200,36061009200,40.7536476,-73.9747422
93.0,1028,93.0,New York County,New York,1707.0,9934.0,9300,36061009300,40.7471119,-74.0008753
94.0,1019,94.0,Queens County,New York,618.0,2817.0,9400,36081009400,40.6814153,-73.8364868
95.0,547,95.0,Queens County,New York,449.0,2190.0,9500,36081009500,40.7744651,-73.9207974
96.0,1728,96.0,Kings County,New York,1273.0,5858.0,9600,36047009600,40.6460153,-74.0057847
96.0,1728,96.0,Bronx County,New York,604.0,2794.0,9600,36005009600,40.8347812,-73.8437163
96.0,1728,96.0,Queens County,New York,818.0,3250.0,9600,36081009600,40.6809138,-73.8322684
96.01,1064,96.01,Richmond County,New York,1164.0,4656.0,9601,36085009601,40.5969283,-74.0886024
96.02,998,96.02,Richmond County,New York,939.0,3193.0,9602,36085009602,40.5907821,-74.0951596
97.0,1555,97.0,New York County,New York,833.0,4490.0,9700,36061009700,40.7496396,-73.999034
97.0,1555,97.0,Queens County,New York,789.0,3812.0,9700,36081009700,40.7764819,-73.9186027
98.0,1982,98.0,Kings County,New York,1247.0,6021.0,9800,36047009800,40.6437764,-74.0081153
98.0,1982,98.0,Bronx County,New York,1218.0,5019.0,9800,36005009800,40.8254505,-73.8495052
98.0,1982,98.0,New York County,New York,1667.0,7099.0,9800,36061009800,40.755788,-73.9677745
98.0,1982,98.0,Queens County,New York,568.0,2627.0,9800,36081009800,40.6854,-73.8312082
100.0,1224,100.0,Kings County,New York,1275.0,5978.0,10000,36047010000,40.6415355,-74.0104457
100.0,1224,100.0,New York County,New York,219.0,1735.0,10000,36061010000,40.7580653,-73.9712318
100.0,1224,100.0,Queens County,New York,965.0,3665.0,10000,36081010000,40.6811536,-73.8288851
101.0,1205,101.0,Kings County,New York,794.0,3944.0,10100,36047010100,40.6583907,-73.9998245
101.0,1205,101.0,Queens County,New York,523.0,2458.0,10100,36081010100,40.7784032,-73.9162557
102.0,1077,102.0,Kings County,New York,1060.0,4844.0,10200,36047010200,40.6392844,-74.0127872
102.0,1077,102.0,Queens County,New York,627.0,2771.0,10200,36081010200,40.6787779,-73.8229675
103.0,542,103.0,New York County,New York,285.0,2300.0,10300,36061010300,40.7521351,-73.9972172
103.0,542,103.0,Queens County,New York,898.0,4045.0,10300,36081010300,40.78106,-73.9150773
104.0,1146,104.0,New York County,New York,128.0,842.0,10400,36061010400,40.7607791,-73.9776729
104.0,1146,104.0,Queens County,New York,843.0,3109.0,10400,36081010400,40.6829682,-73.8265465
105.0,1545,105.0,Richmond County,New York,1176.0,4431.0,10500,36085010500,40.633799,-74.1118714
106.0,1013,106.0,Queens County,New York,898.0,3764.0,10600,36081010600,40.685683,-73.824964
106.01,105,106.01,Kings County,New York,567.0,2315.0,10601,36047010601,40.6395396,-74.0071422
106.01,105,106.01,New York County,New York,1894.0,7238.0,10601,36061010601,40.7570025,-73.960385
106.02,56,106.02,Kings County,New York,431.0,1952.0,10602,36047010602,40.6382102,-74.0049387
106.02,56,106.02,New York County,New York,1079.0,4591.0,10602,36061010602,40.7600894,-73.9582412
108.0,1107,108.0,Queens County,New York,716.0,3137.0,10800,36081010800,40.6886096,-73.8305968
110.0,1041,110.0,Kings County,New York,503.0,2356.0,11000,36047011000,40.6445789,-73.9927738
